StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3.2,Q4.2,Q5.2,Q6.2,Q7.2,Q8.2,Q9.2,Q10.2,Q11.2,Q12.2,Q13.2,Q14.2,Q15.2,Q16.2,Q17.2,Q18.2,Q19.2,Q20.2,Q21.2,Q22.2,Q23.2,Q24.2,Q25.2,Q26.2,Q27.2,Q28.2,Q29.2,Q30.2,Random ID,Q4.9 - Parent Topics,Q4.9 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the..,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the..,Pass me the..,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the..,Pass me the...,Pass me the...,Pass me the..,Pass me the...,Pass me the..,Pass me the..,Pass me the..,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Random ID,Q4.9 - Parent Topics,Q4.9 - Topics
1/22/2020 12:49:00,1/22/2020 12:51:32,IP Address,98.232.238.129,100,151,True,1/22/2020 12:51:32,R_20ZGX89zdSLpZo9,,,,,44.592803955078125,-123.27459716796875,anonymous,EN,screwdriver,water bottle,mug,yellow block,small block,short block,mug,bottom block,red block,screwdriver,scissors,mug,screwdriver,pen,red block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,2247,,
1/22/2020 12:48:42,1/22/2020 12:51:35,IP Address,49.37.192.11,100,172,True,1/22/2020 12:51:36,R_2RUQD2ChOki3tfB,,,,,12.97210693359375,77.593292236328125,anonymous,EN,blue screwdriwer,cup,red cup,yellow box,red box,red box,red cup,red cube,red box,blue screwdriver,blue scissors,red cup,blue screwdriver,red pen,red box,purple cup,grey flask,red screwdriver,red pen,red cube,red screwdriver,red flask,red cube,red cup,long screwdriwer,red pen,red box,red scissors,8094,,
1/22/2020 12:49:26,1/22/2020 12:52:41,IP Address,76.18.212.179,100,195,True,1/22/2020 12:52:42,R_yWSJzJpR4UTkefT,,,,,30.0821990966796875,-81.54979705810546875,anonymous,EN,screwdriver,water bottle,cup,yellow cube,smallest cube,shortest rectangle,mug,bottom cube,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,waterbottle,screwdriver,pen,block,screwdriver,waterbottle,block,mug,screwdriver,pen,block,scissors,1755,,
1/22/2020 12:49:44,1/22/2020 12:52:52,IP Address,68.8.163.160,100,188,True,1/22/2020 12:52:52,R_2S6rn14jY7vz8D3,,,,,32.7637939453125,-117.06999969482421875,anonymous,EN,screwdriver,water bottle,cup,yellow block,small block,small block,red cup,bottom block,wood,screwdriver,scissors,cup,screwdriver,pen,wood,cup,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,cup,screwdriver,pen,block,scissors,5448,,
1/22/2020 12:49:40,1/22/2020 12:53:32,IP Address,1.22.108.16,100,232,True,1/22/2020 12:53:33,R_1poGRvOrvufwhGt,,,,,19.074798583984375,72.8856048583984375,anonymous,EN,screw driver,water bottle,cup,yellow cube,red cube,blocks,mug,block,red block,screwdriver,scissor,red mug,screwdriver,pen,red block,purple mug,water bottle,screwdriver,pen,red block ,screwdriver,water bottle,red cube,mug,screwdriver,pen,red block,scissor,9501,,
1/22/2020 12:49:21,1/22/2020 12:53:32,IP Address,67.169.209.224,100,251,True,1/22/2020 12:53:33,R_2uDo1tbYfzEuxB7,,,,,44.592803955078125,-123.27459716796875,anonymous,EN,Screwdriver,Coffee cup,Coffee mug,Yellow cube,Small red cube,Small red block,Red coffee mug,Red cube,Red block,Purple screwdriver,Blue scissors,Coffee mug,Screwdriver,Red pen,Red block,Coffee mug,Thermos,Red screwdriver,Red pen,Red cube,Red screwdriver,Red thermos,Red cube,Coffee mug,Long screwdriver,Small pen,Red cube,Long scissors,4052,,
1/22/2020 12:48:31,1/22/2020 12:53:41,IP Address,69.14.38.20,100,310,True,1/22/2020 12:53:42,R_12tBNnMV218Vvsx,,,,,42.66259765625,-83.1837005615234375,anonymous,EN,screw driver,water bottle,cup,yellow block,smallest block,small block,cup,bottom block,block,screw driver,scissors,cup,screw driver,pen,block,cup,water bottle,screw driver,pen,block,screw driver,water bottle,block,cup,screw driver,pen,block,scissors ,1828,,
1/22/2020 12:50:13,1/22/2020 12:53:50,IP Address,184.90.1.43,100,216,True,1/22/2020 12:53:50,R_1K1N7pa4XLU7jIr,,,,,29.2866058349609375,-81.0868988037109375,anonymous,EN,screwdriver,water bottle,red mug,yellow cube,small red cube,rectangle wood,red mug,block,red wood,blue screwdriver,blue scissors,red mug,blue screwdriver,red pen,red wood,purple mug,white water bottle,screwdriver,pen,wooden cube,screwdriver,water bottle,wooden cube,mug,screwdriver,pen,wood cube,scissors,6150,,
1/22/2020 12:49:25,1/22/2020 12:53:59,IP Address,173.188.135.40,100,273,True,1/22/2020 12:53:59,R_9FGd11iFucPLzUd,,,,,35.059906005859375,-80.697601318359375,anonymous,EN,ratchet,water bottle,mug,yellow box,smallest box,smallest block,mug,box at the bottom,box,screwdriver,scissors,mug,screwdriver,pen,box,mug,water bottle,screwdriver,pen,box,screwdriver,water bottle,box,mug,screwdriver,pen,box,scissors,8895,,
1/22/2020 12:48:23,1/22/2020 12:54:21,IP Address,98.121.32.139,100,358,True,1/22/2020 12:54:21,R_1Ns6WiaSz6EmpIF,,,,,35.8639068603515625,-78.535003662109375,anonymous,EN,blue screwdriver,red can,red mug,yellow square,tiny red square,red brick,red mug,red square,red rectangle,blue screwdriver,red scissor,red mug,blue screwdriver,red pen,red rectangle,purple mug,grey jug,red screwdriver,red pen,red square,red screwdriver,red can,red square,red mug,red screwdriver,red pen,red square,red scisoors,2858,,
1/22/2020 12:50:35,1/22/2020 12:55:27,IP Address,24.116.21.131,100,292,True,1/22/2020 12:55:28,R_1JEmm7ZxXvNYA9X,,,,,34.1602020263671875,-97.181396484375,anonymous,EN,screwdriver,water bottle,cup,yellow block,smallest block,small block,cup,bottom block,block,screwdriver,scissors,cup,screwdriver,pen,block,cup,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,cup,screwdriver,pen,block,scissors,3392,,
1/22/2020 12:50:08,1/22/2020 12:56:33,IP Address,75.70.44.41,100,385,True,1/22/2020 12:56:34,R_D7haxjQAfUr6jEB,,,,,39.8675994873046875,-104.97280120849609375,anonymous,EN,screwdriver,water bottle,mug,yellow block,smallest block,shortest block,mug,closest block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle`,screwdriver,pen,block,screwdriver,water bottle,block,mug,long screwdriver,short pen,small block,long scissors,9977,,
1/22/2020 13:01:43,1/22/2020 13:04:54,IP Address,100.36.133.136,100,190,True,1/22/2020 13:04:54,R_QmqUtDq3l4WtDAl,,,,,38.8173065185546875,-77.290496826171875,anonymous,EN,screwdriver,bottle,mug,yellow cube,red cube,small red block,mug,red cube at the bottom,red block,screwdriver,scissors,mug,screwdriver,pen,red block,purple mug,bottle,screwdriver,pen,red cube,screwdriver,bottle,red cube,mug,screwdriver,pen,small red block,scissors,2611,,
1/22/2020 12:58:48,1/22/2020 13:05:35,IP Address,176.249.223.74,100,407,True,1/22/2020 13:05:36,R_3n0B7njraKgY5i4,,,,,53.533599853515625,-1.1045989990234375,anonymous,EN,blue handled screwdirver,red water bottle,red mug,yellow cube block,smallest red cube,shortest piece of wood,red mug,bottom red cube,red block,blue handled screwdirver,blue scissors ,red mug,blue handled screwdiver,red pen,red rectangle block,purple mug,white waterbottle,red handled screwdriver,red pen,red cube block,red handled screwdriver,red waterbottle,red block,red mug,red screwdriver,red pen,red block,red scissors ,9436,,
1/22/2020 12:59:54,1/22/2020 13:07:12,IP Address,171.49.183.158,100,438,True,1/22/2020 13:07:12,R_2bH1KZBu10TFYJ9,,,,,13.08599853515625,80.27508544921875,anonymous,EN,scissor,bottle,cup,box,box,roof,cup,box,roof,screw driver,scissor,mug,screwdriver,pen,roof,mug,bottle,screw driver,pen,block,screw driver,water bottle,block,mug,screwdriver,pen,block,scissor,4342,,
1/22/2020 13:04:20,1/22/2020 13:07:55,IP Address,73.235.55.57,100,215,True,1/22/2020 13:07:55,R_pN9g8q65OqCBNYt,,,,,36.8242950439453125,-119.766204833984375,anonymous,EN,blue screwdriver,red water bottle,red mug,yellow block,smallest red block,smallest red block,red mug,bottom red block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,red screwdriver,red pen,red block,red scissors,8529,,
1/22/2020 13:05:17,1/22/2020 13:07:56,IP Address,98.228.157.67,100,158,True,1/22/2020 13:07:56,R_1Kxo8tb5rOGtG8N,,,,,42.23089599609375,-88.33789825439453125,anonymous,EN,Screwdriver,Cup,Scissors,yellow block ,smallest block ,Red block ,Red cup ,bottommost block ,block,blue screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,red block ,red screwdriver,water bottle ,block ,cup,loing screwdriver,small pen,block,scissors,4719,,
1/22/2020 13:05:51,1/22/2020 13:10:03,IP Address,206.74.105.224,100,251,True,1/22/2020 13:10:03,R_OOJ2NqEycNXuFJT,,,,,34.3303985595703125,-82.336700439453125,anonymous,EN,screwdriver,water bottle,mug,yellow block,smallest block,shortest block,mug,bottom block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,8944,,
1/22/2020 13:36:47,1/22/2020 13:38:32,IP Address,24.115.234.11,100,104,True,1/22/2020 13:38:32,R_3FOjxD99rt0TtKq,,,,,41.0287017822265625,-74.6428985595703125,anonymous,EN,screwdriver,bottle,mug,yellow block,smallest block,shortest block,mug,lowest block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,bottle,screwdriver,pen,block,screwdriver,bottle,block,mug,screwdriver,pen,block,scissors,9229,,
1/23/2020 18:49:42,1/23/2020 18:52:37,IP Address,73.216.216.85,100,175,True,1/23/2020 18:52:37,R_24wlcm4nseepnpu,,,,,38.070404052734375,-78.90670013427734375,anonymous,EN,screwdriver,water bottle,mug,yellow one,smallest cube,smallest one,mug,bottom block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,5509,,
1/23/2020 18:52:19,1/23/2020 18:55:38,IP Address,24.202.91.37,100,198,True,1/23/2020 18:55:38,R_2BsuCHYyR39pauq,,,,,45.3878936767578125,-71.8988037109375,anonymous,EN,screwdriver,bottle,mug,yellow block,small block,the shortest piece of wood,mug,the lowest block,the red piece of wood,blue screwdriver,blue scissors,red coffee mug,blue screwdriver,red pen,red piece of wood,purple mug,water bottle ,red screwdriver,red pen,small red block,red screwdriver,red water bottle ,small red block,red coffee mug,long red screwdriver ,the small red pen,the small red piece of wood,long red scissors,8857,,
1/23/2020 18:53:22,1/23/2020 18:58:39,IP Address,76.20.24.104,100,316,True,1/23/2020 18:58:40,R_3fIzhM0bjPJzxP3,,,,,38.4062957763671875,-121.4286956787109375,anonymous,EN,screwdriver,red bottle,red cup,yellow block,smallest block,shortest block,red cup,bottom block,block,screwdriver,scissors,cup,screwdriver,pen,red block,cup,bottle,screwdriver,pen,block,screwdriver,bottle,block,cup,screwdriver,pen,block,scissors ,4312,,
1/23/2020 18:54:56,1/23/2020 19:00:00,IP Address,73.157.24.178,100,304,True,1/23/2020 19:00:00,R_2ypaJhlOAoyfykC,,,,,46.99609375,-122.73809814453125,anonymous,EN,blue screwdriver,red water bottle,coffee mug,yellow block,smallest block,shortest brick,coffee mug,block on the bottom,brick,screwdriver,scissors,coffee mug,screwdriver,pen,brick,coffee mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,coffee mug,screwdriver,short pen,brick,scissors,3578,,
1/23/2020 18:58:26,1/23/2020 19:01:55,IP Address,69.201.57.161,100,208,True,1/23/2020 19:01:55,R_12a8eVo8lQ6OLPS,,,,,43.9770965576171875,-75.9093017578125,anonymous,EN,screwdriver,water bottle,mug,yellow block,small red block,block,mug,bottom red block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottles,screwdriver,pen,block,screwdriver,water bottles,block,mug,long screwdriver,pen,block,long scissors,3136,,
1/23/2020 19:00:06,1/23/2020 19:02:52,IP Address,205.178.60.213,100,166,True,1/23/2020 19:02:53,R_2c15OB8MMGlBXfQ,,,,,41.9031982421875,-87.63829803466796875,anonymous,EN,screwdriver,water bottle,mug,yellow block,small block,small block,mug,red block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,6700,,
1/23/2020 19:01:32,1/23/2020 19:04:15,IP Address,184.57.164.219,100,162,True,1/23/2020 19:04:15,R_XWWnG9YP3EiWCKl,,,,,39.716796875,-84.157501220703125,anonymous,EN,blue screwdriver,red bottl,red cup,yellow cube,small block,small block,cup,bottom block,red log,srewdriver,blue scissors,cup,screwdriver,red pen,log,cup,bottle,screwdriver,pen,block,screwdriver,bottle,block,cup,screwdriver,pen,block,scissors,5187,,
1/23/2020 19:01:33,1/23/2020 19:07:02,IP Address,174.74.193.156,100,329,True,1/23/2020 19:07:02,R_1odPONAqEtzGgk0,,,,,33.6067962646484375,-112.22789764404296875,anonymous,EN,screwdriver,water bottle,mug,yellow block,smallest block,block,mug,block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screw driver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,4982,,
1/23/2020 19:01:03,1/23/2020 19:08:51,IP Address,157.50.213.144,100,468,True,1/23/2020 19:08:51,R_1QttkZuOK7FuhIb,,,,,13.08599853515625,80.27508544921875,anonymous,EN,screw driver ,water container ,tea cup,yellow block,red square,rectangle block ,mug,red block,rectangle block,blue screw driver ,scissor,tea cup,blue screw driver ,red pen ,red rectangle,purple cup,white flask,screw driver,pen,cage ,screw driver ,flask,square block,tea cup,length screw driver ,red pen ,red block,length scissor,9650,,
1/23/2020 19:00:27,1/23/2020 19:09:21,IP Address,76.110.167.95,100,534,True,1/23/2020 19:09:21,R_0pGQADTMvrWGry9,,,,,26.5991058349609375,-80.1284027099609375,anonymous,EN,screwdriver,bottle,cup,yellow block,smallest block,small piece of wood,cup,block on the bottom,block,screwdriver,scissors,cup,screwdriver,pen,block,cup,bottle,screwdriver,pen,block,screwdriver,bottle,block,cup,screwdriver,pen,block,scissors,8755,,
1/23/2020 19:01:28,1/23/2020 19:09:29,IP Address,147.135.11.113,100,481,True,1/23/2020 19:09:29,R_28RJv5d843OWnXt,,,,,38.960906982421875,-77.34290313720703125,anonymous,EN,screwdriver,bottle,cup,yellow block,smallest block,smallest block,cup,bottom block,block,screwdriver,scissors,cup,screwdriver,pen,block,cup,bottle,screwdriver,pen,block,screwdriver,bottle,block,cup,screwdriver,pen,block,scissors,8228,,
1/23/2020 19:08:28,1/23/2020 19:11:21,IP Address,108.64.75.194,100,172,True,1/23/2020 19:11:21,R_1jiFBGlD9TGCvzH,,,,,38.0662994384765625,-122.165496826171875,anonymous,EN,screwdriver,thermos,mug,yellow block,small red cube,small brick,red mug,bottom block,brick,screwdriver,scissors,mug,screwdriver,pen,brick,mug,thermos,screwdriver,pen,cube,screwdriver,thermos,cube,mug,screwdriver,pen,brick,scissors,8922,,
1/23/2020 19:11:07,1/23/2020 19:13:19,IP Address,162.204.57.19,100,131,True,1/23/2020 19:13:20,R_1oBBqjvoyUebOjM,,,,,42.0807037353515625,-88.516998291015625,anonymous,EN,screw driver,bottle,cup,cube,square,block,cup,block,block,screwdriver,scissor,cup,screwdriver,pen,block,cup,bottle,screwdriver,pen,block,screwdriver,bottle,block,cup,screwdriver,pen,block,scissors,2976,,
1/23/2020 19:06:33,1/23/2020 19:14:03,IP Address,103.143.108.199,100,449,True,1/23/2020 19:14:03,R_rjti4bOFv1KmraV,,,,,11.10760498046875,77.356414794921875,anonymous,EN,serewdriver,water battle,tea cap,yellow box,square block ,red rectangle ,tea cup,cage block,rectangle block,blue screw driver,hand scissor ,mugs,blue screw driver ,red pen ,red rectangle box,tea cup,white can ,driver tool,ball point pen,box,screw tool,milk can,box,tea cup,lengthy tool,pen,red box,scissor handle,3391,,
1/23/2020 19:09:02,1/23/2020 19:15:34,IP Address,174.236.134.174,100,391,True,1/23/2020 19:15:34,R_3eblYu85PJMAYcW,,,,,35.6100006103515625,-89.26239776611328125,anonymous,EN,screwdriver,water bottle,mug,yellow block,smallest block,pass me the block of wood in the top left,red mug,block in the front,red block of wood,blue screwdriver,blue sissors,red mug,blue screwdriver,red pen,red block of wood,purple mug,grey water bottle,red screwdriver,red pen,red block,red screwdriver,red water bottle,red block,red mug,screwdriver,pen,block of wood,sissors,6132,,
1/23/2020 19:10:57,1/23/2020 19:15:59,IP Address,73.169.119.154,100,301,True,1/23/2020 19:15:59,R_3M08YjXfFpd1JLs,,,,,39.5883941650390625,-105.07759857177734375,anonymous,EN,screwdriver,water bottole,cup,yellow cube,small cube,small box,mug,bottom red cube,red block,screwdriver,scissors,mug,screwdriver,pen,red block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,red box,mug,screwdriver,pen,red square,screwdriver,5664,,
1/23/2020 19:11:06,1/23/2020 19:18:31,IP Address,185.252.169.98,100,445,True,1/23/2020 19:18:31,R_xbwPG977JLdzPVL,,,,,37.7751007080078125,-122.4192962646484375,anonymous,EN,screw drive,water bottle,mugs,yellow squre,iam not sure,wood pcs,mugs,squre,blocks,blue screw drivers,blue seccoirs,mugs,screw drivers,pen,red blocks,purple mugs,white water bottle,screw drivers,pens,blocks,screw drivers,water bottles,blocks,mugs,screw driver,pen,blocks,sessoir,7813,,
