subjid,sceneid,sceneorder,schema,desc,cleaned,pattern,pattern (normalised order),
1,11,11,A,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
1,12,12,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
1,13,13,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
1,14,14,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
1,15,15,E,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
1,16,16,A,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
1,17,17,B,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
1,18,18,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
1,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
1,20,20,E,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
2,1,1,A,little ball on top of the cube on the right,small ball on-top-of right-hand cube,tg_size tg_type rel lm_loc lm_type,tg_size tg_type rel lm_loc lm_type,
2,2,2,B,red ball infront of the large yellow cube,red ball in-front-of large yellow cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type,
2,3,3,C,little blue ball on top of the green cube,small blue ball on-top-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
2,4,4,D,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
2,5,5,E,small blue cube which is on top of the green one,small blue cube on-top-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
2,6,6,A,small green ball in front of the left hand cube,small green ball in-front-of left-hand cube,tg_size tg_col tg_type rel lm_loc lm_type,tg_size tg_col tg_type rel lm_loc lm_type,
2,7,7,B,little yellow ball on top of the large red cube,small yellow ball on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
2,8,8,C,little blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
2,9,9,D,little red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
2,10,10,E,little blue cube this side of the green cube,small blue cube in-front-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
3,11,11,A,ball on top of the box,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
3,12,12,B,ball in front of the box,ball in-front-of cube,tg_type rel lm_type,tg_type rel lm_type,
3,13,13,C,ball on top of the box,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
3,14,14,D,small green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
